cod_classe;desc_classe;grupo
15.31-9;Fabricação de calçados de couro;15.3
15.32-7;Fabricação de tênis de qualquer material;15.3
15.33-5;Fabricação de calçados de material sintético;15.3
15.39-4;Fabricação de calçados de materiais não especificados anteriormente;15.3
15.40-8;Fabricação de partes para calçados, de qualquer material;15.4
16.10-2;Desdobramento de madeira;16.1
16.21-8;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;16.2
16.22-6;"Fabricação de estruturas de madeira e de artigos de carpintaria para 
construção";16.2
16.23-4;Fabricação de artefatos de tanoaria e de embalagens de madeira;16.2
16.29-3;Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis;16.2
17.10-9;Fabricação de celulose e outras pastas para a fabricação de papel;17.1
17.21-4;Fabricação de papel;17.2
17.22-2;Fabricação de cartolina e papel-cartão;17.2
17.31-1;Fabricação de embalagens de papel;17.3
17.32-0;Fabricação de embalagens de cartolina e papel-cartão;17.3
17.33-8;Fabricação de chapas e de embalagens de papelão ondulado;17.3
17.41-9;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;17.4
17.42-7;Fabricação de produtos de papel para usos doméstico e higiênico-sanitário;17.4
17.49-4;Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente;17.4
18.11-3;Impressão de jornais, livros, revistas e outras publicações periódicas;18.1
18.12-1;Impressão de material de segurança;18.1
18.13-0;Impressão de materiais para outros usos;18.1
18.21-1;Serviços de pré-impressão;18.2
18.22-9;Serviços de acabamentos gráficos;18.2
18.30-0;Reprodução de materiais gravados em qualquer suporte;18.3
19.10-1;Coquerias;19.1
19.21-7;Fabricação de produtos do refino de petróleo;19.2
19.22-5;Fabricação de produtos derivados do petróleo, exceto produtos do refino;19.2
19.31-4;Fabricação de álcool;19.3
19.32-2;Fabricação de biocombustíveis, exceto álcool;19.3
20.11-8;Fabricação de cloro e álcalis;20.1
20.12-6;Fabricação de intermediários para fertilizantes;20.1
20.13-4;Fabricação de adubos e fertilizantes;20.1
20.14-2;Fabricação de gases industriais;20.1
20.19-3;Fabricação de produtos químicos inorgânicos não especificados anteriormente;20.1
20.21-5;Fabricação de produtos petroquímicos básicos;20.2
20.22-3;Fabricação de intermediários para plastificantes, resinas e fibras;20.2
20.29-1;Fabricação de produtos químicos orgânicos não especificados anteriormente;20.2
20.31-2;Fabricação de resinas termoplásticas;20.3
20.32-1;Fabricação de resinas termofixas;20.3
20.33-9;Fabricação de elastômeros;20.3
20.40-1;Fabricação de fibras artificiais e sintéticas;20.4
20.51-7;Fabricação de defensivos agrícolas;20.5
20.52-5;Fabricação de desinfestantes domissanitários;20.5
20.61-4;Fabricação de sabões e detergentes sintéticos;20.6
20.62-2;Fabricação de produtos de limpeza e polimento;20.6
20.63-1;Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal;20.6
20.71-1;Fabricação de tintas, vernizes, esmaltes e lacas;20.7
20.72-0;Fabricação de tintas de impressão;20.7
20.73-8;Fabricação de impermeabilizantes, solventes e produtos afins;20.7
20.91-6;Fabricação de adesivos e selantes;20.9
20.92-4;Fabricação de explosivos;20.9
20.93-2;Fabricação de aditivos de uso industrial;20.9
20.94-1;Fabricação de catalisadores;20.9
20.99-1;Fabricação de produtos químicos não especificados anteriormente;20.9
21.10-6;Fabricação de produtos farmoquímicos;21.1
21.21-1;Fabricação de medicamentos para uso humano;21.2
21.22-0;Fabricação de medicamentos para uso veterinário;21.2
21.23-8;Fabricação de preparações farmacêuticas;21.2
22.11-1;Fabricação de pneumáticos e de câmaras-de-ar;22.1
22.12-9;Reforma de pneumáticos usados;22.1
22.19-6;Fabricação de artefatos de borracha não especificados anteriormente;22.1
22.21-8;Fabricação de laminados planos e tubulares de material plástico;22.2
53.10-5;Atividades de Correio;53.1
22.22-6;Fabricação de embalagens de material plástico;22.2
22.23-4;Fabricação de tubos e acessórios de material plástico para uso na construção;22.2
22.29-3;Fabricação de artefatos de material plástico não especificados anteriormente;22.2
23.11-7;Fabricação de vidro plano e de segurança;23.1
23.12-5;Fabricação de embalagens de vidro;23.1
23.19-2;Fabricação de artigos de vidro;23.1
23.20-6;Fabricação de cimento;23.2
23.30-3;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;23.3
23.41-9;Fabricação de produtos cerâmicos refratários;23.4
23.42-7;Fabricação de produtos cerâmicos não-refratários para uso estrutural na construção;23.4
23.49-4;Fabricação de produtos cerâmicos não-refratários não especificados anteriormente;23.4
23.91-5;Aparelhamento e outros trabalhos em pedras;23.9
23.92-3;Fabricação de cal e gesso;23.9
23.99-1;Fabricação de produtos de minerais não-metálicos não especificados anteriormente;23.9
24.11-3;Produção de ferro-gusa;24.1
24.12-1;Produção de ferroligas;24.1
24.21-1;Produção de semi-acabados de aço;24.2
24.22-9;Produção de laminados planos de aço;24.2
24.23-7;Produção de laminados longos de aço;24.2
24.24-5;Produção de relaminados, trefilados e perfilados de aço;24.2
24.31-8;Produção de tubos de aço com costura;24.3
24.39-3;Produção de outros tubos de ferro e aço;24.3
24.41-5;Metalurgia do alumínio e suas ligas;24.4
24.42-3;Metalurgia dos metais preciosos;24.4
24.43-1;Metalurgia do cobre;24.4
24.49-1;Metalurgia dos metais não-ferrosos e suas ligas não especificados anteriormente;24.4
24.51-2;Fundição de ferro e aço;24.5
24.52-1;Fundição de metais não-ferrosos e suas ligas;24.5
25.11-0;Fabricação de estruturas metálicas;25.1
25.12-8;Fabricação de esquadrias de metal;25.1
25.13-6;Fabricação de obras de caldeiraria pesada;25.1
25.21-7;Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central;25.2
25.22-5;Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos;25.2
25.31-4;Produção de forjados de aço e de metais não-ferrosos e suas ligas;25.3
25.32-2;"Produção de artefatos estampados de metal; metalurgia do pó";25.3
25.39-0;Serviços de usinagem, solda, tratamento e revestimento em metais;25.3
25.41-1;Fabricação de artigos de cutelaria;25.4
25.42-0;Fabricação de artigos de serralheria, exceto esquadrias;25.4
25.43-8;Fabricação de ferramentas;25.4
25.50-1;Fabricação de equipamento bélico pesado, armas de fogo e munições;25.5
25.91-8;Fabricação de embalagens metálicas;25.9
25.92-6;Fabricação de produtos de trefilados de metal;25.9
25.93-4;Fabricação de artigos de metal para uso doméstico e pessoal;25.9
25.99-3;Fabricação de produtos de metal não especificados anteriormente;25.9
26.10-8;Fabricação de componentes eletrônicos;26.1
26.21-3;Fabricação de equipamentos de informática;26.2
26.22-1;Fabricação de periféricos para equipamentos de informática;26.2
26.31-1;Fabricação de equipamentos transmissores de comunicação;26.3
26.32-9;Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação;26.3
26.40-0;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;26.4
26.51-5;Fabricação de aparelhos e equipamentos de medida, teste e controle;26.5
26.52-3;Fabricação de cronômetros e relógios;26.5
26.60-4;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;26.6
26.70-1;Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos;26.7
26.80-9;Fabricação de mídias virgens, magnéticas e ópticas;26.8
27.10-4;Fabricação de geradores, transformadores e motores elétricos;27.1
27.21-0;Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores;27.2
27.22-8;Fabricação de baterias e acumuladores para veículos automotores;27.2
27.31-7;Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica;27.3
27.32-5;Fabricação de material elétrico para instalações em circuito de consumo;27.3
27.33-3;Fabricação de fios, cabos e condutores elétricos isolados;27.3
27.40-6;Fabricação de lâmpadas e outros equipamentos de iluminação;27.4
27.51-1;Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico;27.5
27.59-7;Fabricação de aparelhos eletrodomésticos não especificados anteriormente;27.5
27.90-2;Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente;27.9
28.11-9;Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários;28.1
28.12-7;Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas;28.1
28.13-5;Fabricação de válvulas, registros e dispositivos semelhantes;28.1
28.14-3;Fabricação de compressores;28.1
28.15-1;Fabricação de equipamentos de transmissão para fins industriais;28.1
28.21-6;Fabricação de aparelhos e equipamentos para instalações térmicas;28.2
28.22-4;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas;28.2
28.23-2;Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial;28.2
28.24-1;Fabricação de aparelhos e equipamentos de ar condicionado;28.2
28.25-9;Fabricação de máquinas e equipamentos para saneamento básico e ambiental;28.2
28.29-1;Fabricação de máquinas e equipamentos de uso geral não especificados anteriormente;28.2
28.31-3;Fabricação de tratores agrícolas;28.3
28.32-1;Fabricação de equipamentos para irrigação agrícola;28.3
28.33-0;Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação;28.3
28.40-2;Fabricação de máquinas-ferramenta;28.4
28.51-8;Fabricação de máquinas e equipamentos para a prospecção e extração de petróleo;28.5
28.52-6;Fabricação de outras máquinas e equipamentos para uso na extração mineral, exceto na extração de petróleo;28.5
28.53-4;Fabricação de tratores, exceto agrícolas;28.5
28.54-2;Fabricação de máquinas e equipamentos para terraplenagem, pavimentação e construção, exceto tratores;28.5
28.61-5;Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta;28.6
28.62-3;Fabricação de máquinas e equipamentos para as indústrias de alimentos, bebidas e fumo;28.6
28.63-1;Fabricação de máquinas e equipamentos para a indústria têxtil;28.6
28.64-0;Fabricação de máquinas e equipamentos para as indústrias do vestuário, do couro e de calçados;28.6
28.65-8;Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos;28.6
28.66-6;Fabricação de máquinas e equipamentos para a indústria do plástico;28.6
28.69-1;Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente;28.6
29.10-7;Fabricação de automóveis, camionetas e utilitários;29.1
29.20-4;Fabricação de caminhões e ônibus;29.2
29.30-1;Fabricação de cabines, carrocerias e reboques para veículos automotores;29.3
29.41-7;Fabricação de peças e acessórios para o sistema motor de veículos automotores;29.4
29.42-5;Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;29.4
29.43-3;Fabricação de peças e acessórios para o sistema de freios de veículos automotores;29.4
29.44-1;Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores;29.4
29.45-0;Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias;29.4
29.49-2;Fabricação de peças e acessórios para veículos automotores não especificados anteriormente;29.4
29.50-6;Recondicionamento e recuperação de motores para veículos automotores;29.5
30.11-3;Construção de embarcações e estruturas flutuantes;30.1
30.12-1;Construção de embarcações para esporte e lazer;30.1
30.31-8;Fabricação de locomotivas, vagões e outros materiais rodantes;30.3
30.32-6;Fabricação de peças e acessórios para veículos ferroviários;30.3
30.41-5;Fabricação de aeronaves;30.4
30.42-3;Fabricação de turbinas, motores e outros componentes e peças para aeronaves;30.4
30.50-4;Fabricação de veículos militares de combate;30.5
30.91-1;Fabricação de motocicletas;30.9
30.92-0;Fabricação de bicicletas e triciclos não-motorizados;30.9
30.99-7;Fabricação de equipamentos de transporte não especificados anteriormente;30.9
31.01-2;Fabricação de móveis com predominância de madeira;31.0
31.02-1;Fabricação de móveis com predominância de metal;31.0
31.03-9;Fabricação de móveis de outros materiais, exceto madeira e metal;31.0
31.04-7;Fabricação de colchões;31.0
32.11-6;Lapidação de gemas e fabricação de artefatos de ourivesaria e joalheria;32.1
32.12-4;Fabricação de bijuterias e artefatos semelhantes;32.1
32.20-5;Fabricação de instrumentos musicais;32.2
32.30-2;Fabricação de artefatos para pesca e esporte;32.3
32.40-0;Fabricação de brinquedos e jogos recreativos;32.4
32.50-7;Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos;32.5
32.91-4;Fabricação de escovas, pincéis e vassouras;32.9
32.92-2;Fabricação de equipamentos e acessórios para segurança e proteção pessoal e profissional;32.9
32.99-0;Fabricação de produtos diversos não especificados anteriormente;32.9
33.11-2;Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos;33.1
33.12-1;Manutenção e reparação de equipamentos eletrônicos e ópticos;33.1
33.13-9;Manutenção e reparação de máquinas e equipamentos elétricos;33.1
33.14-7;Manutenção e reparação de máquinas e equipamentos da indústria mecânica;33.1
33.15-5;Manutenção e reparação de veículos ferroviários;33.1
33.16-3;Manutenção e reparação de aeronaves;33.1
33.17-1;Manutenção e reparação de embarcações;33.1
33.19-8;Manutenção e reparação de equipamentos e produtos não especificados anteriormente;33.1
33.21-0;Instalação de máquinas e equipamentos industriais;33.2
33.29-5;Instalação de equipamentos não especificados anteriormente;33.2
35.11-5;Geração de energia elétrica;35.1
35.12-3;Transmissão de energia elétrica;35.1
35.13-1;Comércio atacadista de energia elétrica;35.1
35.14-0;Distribuição de energia elétrica;35.1
35.20-4;"Produção de gás; processamento de gás natural; distribuição de combustíveis gasosos por redes urbanas";35.2
35.30-1;Produção e distribuição de vapor, água quente e ar condicionado;35.3
36.00-6;Captação, tratamento e distribuição de água;36.0
37.01-1;Gestão de redes de esgoto;37.0
37.02-9;Atividades relacionadas a esgoto, exceto a gestão de redes;37.0
38.11-4;Coleta de resíduos não-perigosos;38.1
38.12-2;Coleta de resíduos perigosos;38.1
38.21-1;Tratamento e disposição de resíduos não-perigosos;38.2
38.22-0;Tratamento e disposição de resíduos perigosos;38.2
38.31-9;Recuperação de materiais metálicos;38.3
38.32-7;Recuperação de materiais plásticos;38.3
38.39-4;Recuperação de materiais não especificados anteriormente;38.3
39.00-5;Descontaminação e outros serviços de gestão de resíduos;39.0
41.10-7;Incorporação de empreendimentos imobiliários;41.1
42.11-1;Construção de rodovias e ferrovias;42.1
42.12-0;Construção de obras-de-arte especiais;42.1
42.13-8;Obras de urbanização - ruas, praças e calçadas;42.1
42.21-9;Obras para geração e distribuição de energia elétrica e para telecomunicações;42.2
42.22-7;Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas;42.2
42.23-5;Construção de redes de transportes por dutos, exceto para água e esgoto;42.2
42.91-0;Obras portuárias, marítimas e fluviais;42.9
42.92-8;Montagem de instalações industriais e de estruturas metálicas;42.9
42.99-5;Obras de engenharia civil não especificadas anteriormente;42.9
43.11-8;Demolição e preparação de canteiros de obras;43.1
43.12-6;Perfurações e sondagens;43.1
43.13-4;Obras de terraplenagem;43.1
43.19-3;Serviços de preparação do terreno não especificados anteriormente;43.1
43.21-5;Instalações elétricas;43.2
43.22-3;Instalações hidráulicas, de sistemas de ventilação e refrigeração;43.2
43.29-1;Obras de instalações em construções não especificadas anteriormente;43.2
43.30-4;Obras de acabamento;43.3
43.91-6;Obras de fundações;43.9
43.99-1;Serviços especializados para construção não especificados anteriormente;43.9
45.11-1;Comércio a varejo e por atacado de veículos automotores;45.1
45.12-9;Representantes comerciais e agentes do comércio de veículos automotores;45.1
45.20-0;Manutenção e reparação de veículos automotores;45.2
45.30-7;Comércio de peças e acessórios para veículos automotores;45.3
45.41-2;Comércio por atacado e a varejo de motocicletas, peças e acessórios;45.4
45.42-1;Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios;45.4
45.43-9;Manutenção e reparação de motocicletas;45.4
46.11-7;Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos;46.1
46.12-5;Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos;46.1
46.13-3;Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens;46.1
46.14-1;Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves;46.1
46.15-0;Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico;46.1
46.16-8;Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem;46.1
46.17-6;Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo;46.1
46.18-4;Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente;46.1
46.19-2;Representantes comerciais e agentes do comércio de mercadorias em geral não especializado;46.1
46.21-4;Comércio atacadista de café em grão;46.2
46.22-2;Comércio atacadista de soja;46.2
46.23-1;Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja;46.2
46.31-1;Comércio atacadista de leite e laticínios;46.3
46.32-0;Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas;46.3
46.33-8;Comércio atacadista de hortifrutigranjeiros;46.3
46.34-6;Comércio atacadista de carnes, produtos da carne e pescado;46.3
46.35-4;Comércio atacadista de bebidas;46.3
46.36-2;Comércio atacadista de produtos do fumo;46.3
46.37-1;Comércio atacadista especializado em produtos alimentícios não especificados anteriormente;46.3
46.39-7;Comércio atacadista de produtos alimentícios em geral;46.3
46.41-9;Comércio atacadista de tecidos, artefatos de tecidos e de armarinho;46.4
46.42-7;Comércio atacadista de artigos do vestuário e acessórios;46.4
46.43-5;Comércio atacadista de calçados e artigos de viagem;46.4
46.44-3;Comércio atacadista de produtos farmacêuticos para uso humano e veterinário;46.4
46.45-1;Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico;46.4
46.46-0;Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal;46.4
46.47-8;"Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações";46.4
46.49-4;Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente;46.4
46.51-6;Comércio atacadista de computadores, periféricos e suprimentos de informática;46.5
46.52-4;Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação;46.5
46.61-3;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças";46.6
46.62-1;"Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças";46.6
46.63-0;"Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças";46.6
46.64-8;"Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças";46.6
46.65-6;"Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças";46.6
46.69-9;"Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças";46.6
46.71-1;Comércio atacadista de madeira e produtos derivados;46.7
46.72-9;Comércio atacadista de ferragens e ferramentas;46.7
46.73-7;Comércio atacadista de material elétrico;46.7
46.74-5;Comércio atacadista de cimento;46.7
46.79-6;Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral;46.7
46.81-8;Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP;46.8
46.82-6;Comércio atacadista de gás liqüefeito de petróleo (GLP);46.8
46.83-4;Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo;46.8
46.84-2;Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos;46.8
46.85-1;Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção;46.8
46.86-9;Comércio atacadista de papel e papelão em bruto e de embalagens;46.8
46.87-7;Comércio atacadista de resíduos e sucatas;46.8
46.89-3;Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente;46.8
46.91-5;Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios;46.9
46.92-3;Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários;46.9
46.93-1;Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários;46.9
47.11-3;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;47.1
47.12-1;Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;47.1
47.13-0;Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;47.1
47.21-1;Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;47.2
47.22-9;Comércio varejista de carnes e pescados - açougues e peixarias;47.2
47.23-7;Comércio varejista de bebidas;47.2
47.24-5;Comércio varejista de hortifrutigranjeiros;47.2
47.29-6;"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";47.2
47.31-8;Comércio varejista de combustíveis para veículos automotores;47.3
47.32-6;Comércio varejista de lubrificantes;47.3
47.41-5;Comércio varejista de tintas e materiais para pintura;47.4
47.42-3;Comércio varejista de material elétrico;47.4
47.43-1;Comércio varejista de vidros;47.4
47.44-0;Comércio varejista de ferragens, madeira e materiais de construção;47.4
47.51-2;Comércio varejista especializado de equipamentos e suprimentos de informática;47.5
47.52-1;Comércio varejista especializado de equipamentos de telefonia e comunicação;47.5
47.53-9;Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo;47.5
47.54-7;Comércio varejista especializado de móveis, colchoaria e artigos de iluminação;47.5
47.55-5;Comércio varejista especializado de tecidos e artigos de cama, mesa e banho;47.5
47.56-3;Comércio varejista especializado de instrumentos musicais e acessórios;47.5
47.57-1;Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação;47.5
47.59-8;Comércio varejista de artigos de uso doméstico não especificados anteriormente;47.5
47.61-0;Comércio varejista de livros, jornais, revistas e papelaria;47.6
47.62-8;Comércio varejista de discos, CDs, DVDs e fitas;47.6
47.63-6;Comércio varejista de artigos recreativos e esportivos;47.6
