cod_divisao;desc_divisao
59;"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA"
60;ATIVIDADES DE RÁDIO E DE TELEVISÃO
61;TELECOMUNICAÇÕES
62;ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO
63;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO
64;ATIVIDADES DE SERVIÇOS FINANCEIROS
65;SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
66;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE
68;ATIVIDADES IMOBILIÁRIAS
69;ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA
70;ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL
71;"SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS"
72;PESQUISA E DESENVOLVIMENTO CIENTÍFICO
73;PUBLICIDADE E PESQUISA DE MERCADO
74;OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS
75;ATIVIDADES VETERINÁRIAS
77;ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS
78;SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA
79;AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS
80;ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO
81;SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS
82;SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS ÀS EMPRESAS
84;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL
85;EDUCAÇÃO
86;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA
87;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES
88;SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO
90;ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS
91;ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL
92;ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS
93;ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER
94;ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS
95;REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS
96;OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS
97;SERVIÇOS DOMÉSTICOS
99;ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS
01;AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS
02;PRODUÇÃO FLORESTAL
03;PESCA E AQÜICULTURA
05;EXTRAÇÃO DE CARVÃO MINERAL
06;EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL
07;EXTRAÇÃO DE MINERAIS METÁLICOS
08;EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS
09;ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS
